relation_family,node_id,node_label,node_type,degree,betweenness_undirected_projection,top_degree_5,top_betweenness_5
PERSON_EVENT_PARTICIPATION,EV-0009,Bunhwangsa India dedication (대웅보전 준공식),EVENTS,1,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0016,Chosŏn Pulgyo,TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0018,Muso-yu,TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0028,Yi Nŭng-hwa,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),EVENTS,2,2.000000,1,1
PERSON_EVENT_PARTICIPATION,P-0076,Sitanshu Yashaschandra,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EP-0007,Pomnyun sunim (법륜 스님),PEOPLE,1,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0018,Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,EVENTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0054,Jung Seung-suk,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0014,Hyeeop,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,I-0015,Bunhwangsa India,INSTITUTIONS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0016,Dongguk University - Nalanda University MOU,EVENTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0021,India and Korea Through the Ages,TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0055,U Myeong-ju,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),EVENTS,1,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0003,Wŏnhyo,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0074,Muhak Chach'o,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,I-0022,Jogye Order of Korean Buddhism,INSTITUTIONS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EP-0002,Munjong sunim (문종 스님),PEOPLE,1,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0017,Gubon,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0068,Sŏ Chŏng-ju,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0075,Baegun Gyeonghan,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,EVENTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0016,Hyŏngak,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,I-0026,International Buddhist Confederation (IBC),INSTITUTIONS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,TX-0001,Wang ocheonchukguk jeon,TEXTS,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0065,Gakseong (Ven.),PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0021,Wonpyo,PEOPLE,0,0.000000,0,0
PERSON_EVENT_PARTICIPATION,P-0053,Lokesh Chandra,PEOPLE,0,0.000000,0,0
